44214^Black Swan^2010/12/3 上午 12:00:00^24.38^A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.^7.6^10439^18 27 53^Drama | Horror | Thriller | ^5jaI1XOB-bs^/rH19vkjAzCZ0HIUvrgB3rowm68h.jpg^528085 497582 741067 635302 718444 539885 337401 613504 438396 606234 692969 493065 531499 425001 475557 632618 283566 520763 516486 703134 531219 581392 601844 692969 652004 474350 722603 617505 748224 9286 670266 733491 611605 715658 735110 595149 728144 704630 667141 420634 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763^45317 322 187 453 5038 1954 1640 1164 1491 64690 9693 8967 19913 62215 152532 587 77 544 627 4553^
284054^Black Panther^2018/2/13 上午 12:00:00^99.209^King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.^7.4^16207^28 12 14 878^Action | Adventure | Fantasy | Science Fiction | ^dxWvtMOGAhw xjDjIWPwcPU 3nS_wzicYX4 yH72D12BkzY PJBmeqpw3DY y9fBzUtrKwY HnnRyhuX_jM mSAgLsrZG2Q jJm2WFTscDM sgX_StgXGF0 2GTI0MHj3dM zkWiTLKE0mg u0SBlLWNe5s^/uxzzxijgPIY7slzFvMotPv8wjKA.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^351286 260513 343668 297802 324857 429617 10195 353486 353081 338952 299534 447332 1771 300668 263115 268896 287947 118340 336843 10138^
297762^Wonder Woman^2017/5/30 上午 12:00:00^79.827^An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.^7.3^15354^28 12 14^Action | Adventure | Fantasy | ^5lGoQhFb4NM 1Q8fG0TtVAY INLzqh7rZ-U e9waCtSVoZ0 tsJeu11shJg tnbDVsL_JpQ HUCBxfHjayo VSB4wGIdDwo^/gfJGlDaHuWimErCr5Ql0I8x9QSy.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439^363088 339964 315837 305470 274857 339403 100402 127585 338970 259316 188927 297761 383498 341013 335988 324849 121856 10195 348350 324552^
205596^The Imitation Game^2014/11/14 上午 12:00:00^38.074^Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.^8^12714^18 36 53 10752^Drama | History | Thriller | War | ^Fg85ggZSHMw j2jRs4EAvWM^/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg^528085 497582 741067 635302 718444 539885 337401 613504 438396 606234 692969 493065 531499 425001 475557 632618 283566 520763 516486 703134 635302 635237 531876 359724 582306 556984 468816 631939 324786 606856 584044 666219 508664 449924 504949 502425 369972 565179 434245 522162 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763 516486 531876 530915 679796 554022 662334 324786 627879 508664 559957 635744 228150 504949 553839 438799 281338 608195 95963 522162 412383^286217 37799 49047 205587 106646 96721 1124 64682 146233 591 137113 122917 75656 157353 152601 109424 51876 87492 58574 321697^
297761^Suicide Squad^2016/8/3 上午 12:00:00^47.472^From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.^5.9^16454^28 12 80 14 878^Action | Adventure | Crime | Fantasy | Science Fiction | ^PLLQK9la6Go CmRih_VtVAs 5AwUdTIbA8I 5okgENDeCfM JsbG97hO6lA m0Xb9BhfVjY^/xFw9RXKZDvevAGocgBK0zteto4U.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 497582 539885 721656 493065 605116 603119 495764 531499 475557 632618 38700 703134 667141 619592 11679 458156 655431 582218 746180 559937 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534^1979 283995 1593 269149 36658 121856 75656 294254 166424 166426 557 223702 293660 127380 290595 285 43074 241259 558 32657^
12444^Harry Potter and the Deathly Hallows: Part 1^2010/10/17 上午 12:00:00^89.92^Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.^7.8^13548^12 14^Adventure | Fantasy | ^Su1LOpjvdZ4^/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439^1593 808 9738 2454 12 557 810 9502 10140 32657 8355 10020 36658 1979 812 18360 18239 36668 585 24021^
680^Pulp Fiction^1994/9/10 上午 12:00:00^35.715^A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.^8.5^19781^80 53^Crime | Thriller | ^tGpTpVyI_OQ^/plnlrtBUULT0rh3Xsjmpubiso3L.jpg^497582 539885 721656 493065 605116 603119 495764 531499 475557 632618 38700 703134 667141 619592 11679 458156 655431 582218 746180 559937 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763^600 111 184 107 240 14 857 73 694 187 37165 13 603 273248 78 141 62 28 562 424^
209112^Batman v Superman: Dawn of Justice^2016/3/23 上午 12:00:00^65.379^Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.^5.9^13940^28 12 14^Action | Adventure | Fantasy | ^0WWzgGyAH6Y 6as8ahAr1Uc fis-9Zqu2Ro NhWg7AQLI_8 s-MUzvASr8s^/5UsK3grJvtQrtzEgqNlDljJW96w.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439^9738 98566 177677 1979 1724 44912 297762 272 91314 283995 36668 558 278927 206647 2080 87101 1927 293660 76170 1487^
424694^Bohemian Rhapsody^2018/10/24 上午 12:00:00^62.736^Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.^8^12100^18 10402^Drama | Music | ^HlRd9Zy25zo 6S9c5nnDd_s mP0VHJYFOAU l3iIJu08t-Y NWFG0M-7QJo 7954xNZcRUI 27zlBpzdOZg^/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg^528085 497582 741067 635302 718444 539885 337401 613504 438396 606234 692969 493065 531499 425001 475557 632618 283566 520763 516486 703134 354912 446893 594328 630566 738215 420818 599521 612706 506574 335797 585244 537061 136799 648337 460793 424694 632632 454458 707886 244786^389015 297802 404368 287947 492188 392044 405774 391713 383498 515195 537996 399404 446021 398978 400650 446354 399174 515001 504172 316029^
135397^Jurassic World^2015/6/6 上午 12:00:00^76.929^Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.^6.6^16138^28 12 878 53^Action | Adventure | Science Fiction | Thriller | ^RFinNxS5KN4 aJJrkyHas78 FtCslvCjZEY^/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg^724989 741067 635302 590223 718444 539885 337401 581392 694919 601844 697064 475430 734309 721452 635237 493065 605116 621870 603119 722603 531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 528085 590223 475430 606234 605116 514207 722603 594328 283566 520763 454626 713825 338762 704630 299536 640882 604578 709621 671145 299534 724989 528085 741067 718444 539885 581392 601844 438396 721452 509635 692969 606234 493065 652004 603119 475557 632618 601165 38700 520763^246655 137113 168259 140607 76338 206647 131634 198184 294254 254 100402 57158 198663 286217 559 9738 285 608 1979 1593^
671^Harry Potter and the Philosopher's Stone^2001/11/16 上午 12:00:00^144.519^Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.^7.9^18522^12 14 10751^Adventure | Family | Fantasy | ^PbdM1db3JbY ue-RthZ6WWk Q61YhARNOPg k71hjl3zWsA^/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg^531219 741067 635302 590223 718444 337401 560050 624963 475430 635237 354912 677638 621870 446893 594328 611395 330457 385103 508439 664767 531219 635302 337401 560050 624963 475430 606234 354912 741074 621870 474350 446893 617505 547016 611395 330457 508439 664767 489326 10439 531219 721656 560050 624963 475430 354912 499338 677638 741074 425001 446893 594328 454626 330457 385103 508439 10439 420818 413518 420809^585 1593 558 9738 12155 8587 559 9806 810 121 36657 812 9502 10020 607 862 1979 2454 8355 310^
